#       r             R(r)          X(r)=rR(r)          Veff
  1.957094e-03   1.587524e+01   3.106933e-02  -4.087692e+03
  1.976764e-03   1.587399e+01   3.137912e-02  -4.047019e+03
  1.996630e-03   1.587272e+01   3.169196e-02  -4.006751e+03
  2.016697e-03   1.587145e+01   3.200790e-02  -3.966883e+03
  2.036965e-03   1.587016e+01   3.232697e-02  -3.927412e+03
  2.057437e-03   1.586886e+01   3.264919e-02  -3.888333e+03
  2.078114e-03   1.586755e+01   3.297459e-02  -3.849644e+03
  2.099000e-03   1.586623e+01   3.330321e-02  -3.811339e+03
  2.120095e-03   1.586489e+01   3.363507e-02  -3.773416e+03
  2.141402e-03   1.586354e+01   3.397021e-02  -3.735870e+03
  2.162924e-03   1.586217e+01   3.430867e-02  -3.698697e+03
  2.184662e-03   1.586079e+01   3.465046e-02  -3.661894e+03
  2.206618e-03   1.585940e+01   3.499563e-02  -3.625458e+03
  2.228795e-03   1.585799e+01   3.534421e-02  -3.589384e+03
  2.251194e-03   1.585657e+01   3.569622e-02  -3.553669e+03
  2.273819e-03   1.585514e+01   3.605171e-02  -3.518310e+03
  2.296672e-03   1.585369e+01   3.641071e-02  -3.483302e+03
  2.319753e-03   1.585222e+01   3.677325e-02  -3.448642e+03
  2.343067e-03   1.585074e+01   3.713936e-02  -3.414328e+03
  2.366616e-03   1.584925e+01   3.750909e-02  -3.380355e+03
  2.390400e-03   1.584774e+01   3.788245e-02  -3.346720e+03
  2.414424e-03   1.584622e+01   3.825950e-02  -3.313419e+03
  2.438690e-03   1.584468e+01   3.864027e-02  -3.280450e+03
  2.463199e-03   1.584313e+01   3.902478e-02  -3.247809e+03
  2.487955e-03   1.584156e+01   3.941308e-02  -3.215493e+03
  2.512959e-03   1.583998e+01   3.980521e-02  -3.183498e+03
  2.538215e-03   1.583838e+01   4.020120e-02  -3.151822e+03
  2.563724e-03   1.583676e+01   4.060108e-02  -3.120461e+03
  2.589490e-03   1.583513e+01   4.100490e-02  -3.089412e+03
  2.615515e-03   1.583348e+01   4.141270e-02  -3.058671e+03
  2.641801e-03   1.583181e+01   4.182451e-02  -3.028237e+03
  2.668352e-03   1.583013e+01   4.224036e-02  -2.998106e+03
  2.695169e-03   1.582844e+01   4.266031e-02  -2.968274e+03
  2.722256e-03   1.582672e+01   4.308438e-02  -2.938739e+03
  2.749615e-03   1.582499e+01   4.351263e-02  -2.909498e+03
  2.777249e-03   1.582324e+01   4.394508e-02  -2.880548e+03
  2.805161e-03   1.582147e+01   4.438178e-02  -2.851886e+03
  2.833353e-03   1.581969e+01   4.482277e-02  -2.823510e+03
  2.861829e-03   1.581789e+01   4.526809e-02  -2.795415e+03
  2.890591e-03   1.581607e+01   4.571778e-02  -2.767600e+03
  2.919642e-03   1.581423e+01   4.617189e-02  -2.740062e+03
  2.948985e-03   1.581237e+01   4.663045e-02  -2.712798e+03
  2.978622e-03   1.581050e+01   4.709351e-02  -2.685805e+03
  3.008558e-03   1.580861e+01   4.756111e-02  -2.659081e+03
  3.038795e-03   1.580669e+01   4.803330e-02  -2.632623e+03
  3.069335e-03   1.580476e+01   4.851011e-02  -2.606428e+03
  3.100182e-03   1.580281e+01   4.899160e-02  -2.580493e+03
  3.131340e-03   1.580084e+01   4.947781e-02  -2.554817e+03
  3.162810e-03   1.579886e+01   4.996878e-02  -2.529396e+03
  3.194597e-03   1.579685e+01   5.046456e-02  -2.504228e+03
  3.226703e-03   1.579482e+01   5.096519e-02  -2.479311e+03
  3.259132e-03   1.579277e+01   5.147072e-02  -2.454641e+03
  3.291887e-03   1.579070e+01   5.198120e-02  -2.430217e+03
  3.324971e-03   1.578861e+01   5.249667e-02  -2.406036e+03
  3.358387e-03   1.578650e+01   5.301718e-02  -2.382096e+03
  3.392140e-03   1.578437e+01   5.354279e-02  -2.358393e+03
  3.426231e-03   1.578222e+01   5.407353e-02  -2.334927e+03
  3.460666e-03   1.578004e+01   5.460945e-02  -2.311694e+03
  3.495446e-03   1.577785e+01   5.515061e-02  -2.288692e+03
  3.530576e-03   1.577563e+01   5.569706e-02  -2.265919e+03
  3.566058e-03   1.577339e+01   5.624884e-02  -2.243373e+03
  3.601898e-03   1.577113e+01   5.680601e-02  -2.221051e+03
  3.638098e-03   1.576885e+01   5.736861e-02  -2.198951e+03
  3.674661e-03   1.576654e+01   5.793670e-02  -2.177071e+03
  3.711592e-03   1.576421e+01   5.851033e-02  -2.155409e+03
  3.748894e-03   1.576186e+01   5.908955e-02  -2.133963e+03
  3.786571e-03   1.575949e+01   5.967441e-02  -2.112729e+03
  3.824627e-03   1.575709e+01   6.026498e-02  -2.091707e+03
  3.863065e-03   1.575466e+01   6.086129e-02  -2.070894e+03
  3.901889e-03   1.575222e+01   6.146341e-02  -2.050289e+03
  3.941104e-03   1.574975e+01   6.207139e-02  -2.029888e+03
  3.980713e-03   1.574725e+01   6.268529e-02  -2.009690e+03
  4.020720e-03   1.574473e+01   6.330516e-02  -1.989694e+03
  4.061129e-03   1.574219e+01   6.393105e-02  -1.969896e+03
  4.101944e-03   1.573962e+01   6.456302e-02  -1.950295e+03
  4.143169e-03   1.573702e+01   6.520114e-02  -1.930889e+03
  4.184808e-03   1.573440e+01   6.584546e-02  -1.911677e+03
  4.226866e-03   1.573175e+01   6.649603e-02  -1.892655e+03
  4.269347e-03   1.572908e+01   6.715291e-02  -1.873823e+03
  4.312255e-03   1.572638e+01   6.781617e-02  -1.855178e+03
  4.355594e-03   1.572366e+01   6.848586e-02  -1.836719e+03
  4.399368e-03   1.572090e+01   6.916204e-02  -1.818443e+03
  4.443582e-03   1.571812e+01   6.984478e-02  -1.800349e+03
  4.488241e-03   1.571532e+01   7.053413e-02  -1.782435e+03
  4.533349e-03   1.571248e+01   7.123015e-02  -1.764700e+03
  4.578910e-03   1.570962e+01   7.193292e-02  -1.747141e+03
