#       r             V(r)
  2.63498061e-02  -3.03607547e+02
  2.66146261e-02  -3.00586601e+02
  2.68821075e-02  -2.97595715e+02
  2.71522772e-02  -2.94634588e+02
  2.74251621e-02  -2.91702925e+02
  2.77007896e-02  -2.88800432e+02
  2.79791872e-02  -2.85926820e+02
  2.82603827e-02  -2.83081800e+02
  2.85444042e-02  -2.80265089e+02
  2.88312803e-02  -2.77476405e+02
  2.91210394e-02  -2.74715469e+02
  2.94137108e-02  -2.71982004e+02
  2.97093235e-02  -2.69275738e+02
  3.00079071e-02  -2.66596400e+02
  3.03094916e-02  -2.63943721e+02
  3.06141071e-02  -2.61317437e+02
  3.09217840e-02  -2.58717285e+02
  3.12325530e-02  -2.56143005e+02
  3.15464454e-02  -2.53594340e+02
  3.18634925e-02  -2.51071034e+02
  3.21837259e-02  -2.48572835e+02
  3.25071777e-02  -2.46099494e+02
  3.28338803e-02  -2.43650763e+02
  3.31638663e-02  -2.41226398e+02
  3.34971687e-02  -2.38826155e+02
  3.38338208e-02  -2.36449795e+02
  3.41738564e-02  -2.34097080e+02
  3.45173093e-02  -2.31767776e+02
  3.48642141e-02  -2.29461648e+02
  3.52146052e-02  -2.27178466e+02
  3.55685179e-02  -2.24918003e+02
  3.59259874e-02  -2.22680031e+02
  3.62870496e-02  -2.20464328e+02
  3.66517405e-02  -2.18270671e+02
  3.70200966e-02  -2.16098842e+02
  3.73921548e-02  -2.13948622e+02
  3.77679522e-02  -2.11819798e+02
  3.81475264e-02  -2.09712156e+02
  3.85309155e-02  -2.07625485e+02
  3.89181576e-02  -2.05559577e+02
  3.93092916e-02  -2.03514225e+02
  3.97043565e-02  -2.01489224e+02
  4.01033919e-02  -1.99484373e+02
  4.05064377e-02  -1.97499470e+02
  4.09135342e-02  -1.95534318e+02
  4.13247221e-02  -1.93588719e+02
  4.17400424e-02  -1.91662479e+02
  4.21595368e-02  -1.89755405e+02
  4.25832472e-02  -1.87867308e+02
  4.30112160e-02  -1.85997997e+02
  4.34434859e-02  -1.84147286e+02
  4.38801002e-02  -1.82314990e+02
  4.43211025e-02  -1.80500925e+02
  4.47665370e-02  -1.78704911e+02
